,,,"Average weekly expenditure for theWeighted average of eight capital citiesin September quarter 2017$",,,"Percentage contributionto the All groups CPI inSeptember quarter 2017%",,
,,"Therapeutic appliances and equipment",,,"2.33",,,"0.15"
,"Medical, dental and hospital services",,,"67.75",,,"4.25",
,,"Medical and hospital services",,,"59.49",,,"3.73"
,,"Dental services",,,"8.25",,,"0.52"
"TRANSPORT",,,"164.51",,,"10.32",,
,"Private motoring",,,"152.78",,,"9.58",
,,"Motor vehicles",,,"44.38",,,"2.78"
,,"Spare parts and accessories for motor vehicles",,,"11.65",,,"0.73"
,,"Automotive fuel",,,"44.39",,,"2.78"
,,"Maintenance and repair of motor vehicles",,,"30.83",,,"1.93"
,,"Other services in respect of motor vehicles",,,"21.53",,,"1.35"
,"Urban transport fares",,,"11.73",,,"0.74",
,,"Urban transport fares",,,"11.73",,,"0.74"
"COMMUNICATION",,,"42.70",,,"2.68",,
,"Communication",,,"42.70",,,"2.68",
,,"Postal services",,,"1.33",,,"0.08"
,,"Telecommunication equipment and services",,,"41.37",,,"2.59"
"RECREATION AND CULTURE",,,"202.62",,,"12.71",,
,"Audio, visual and computing equipment and services",,,"30.56",,,"1.92",
,,"Audio, visual and computing equipment",,,"19.44",,,"1.22"
,,"Audio, visual and computing media and services",,,"11.13",,,"0.70"
,"Newspapers, books and stationery",,,"11.61",,,"0.73",
,,"Books",,,"3.92",,,"0.25"
,,"Newspapers, magazines and stationery",,,"7.69",,,"0.48"
,"Holiday travel and accommodation",,,"92.91",,,"5.83",
,,"Domestic holiday travel and accommodation",,,"42.67",,,"2.68"
,,"International holiday travel and accommodation",,,"50.24",,,"3.15"
,"Other recreation, sport and culture",,,"67.52",,,"4.24",
,,"Equipment for sports, camping and open–air recreation",,,"9.37",,,"0.59"
,,"Games, toys and hobbies",,,"12.84",,,"0.81"
,,"Pets and related products",,,"7.09",,,"0.44"
,,"Veterinary and other services for pets",,,"5.90",,,"0.37"
,,"Sports participation",,,"15.60",,,"0.98"
,,"Other recreational, sporting and cultural services",,,"16.73",,,"1.05"
"EDUCATION",,,"68.05",,,"4.27",,
,"Education",,,"68.05",,,"4.27",
,,"Preschool and primary education",,,"14.72",,,"0.92"
,,"Secondary education",,,"27.09",,,"1.70"
,,"Tertiary education",,,"26.25",,,"1.65"
"INSURANCE AND FINANCIAL SERVICES",,,"92.50",,,"5.80",,
,"Insurance",,,"18.89",,,"1.19",
,,"Insurance",,,"18.89",,,"1.19"
,"Financial services",,,"73.61",,,"4.62",
,,"Deposit and loan facilities (direct charges)",,,"9.56",,,"0.60"
,,"Other financial services",,,"64.04",,,"4.02"
"ALL GROUPS",,,"1594.18","1594.18","1594.18","100.00","100.00","100.00"

"a. Any discrepancies between totals and sums of components in this Appendix are due to rounding"

"Source: Australian Bureau of Statistics, Introduction of the 17th Series Australian Consumer Price Index 6/11/2017"
